Nombre Algoritmo, Dataset (con restricciones), Semilla, Infeasible, IntraCluster, Fitness, Ellapsed(s)
GenerationalGeneticUniform,zoo_set_const_10,123456789,7,0.5890537643839429,0.642097200103384,1.402331808
GenerationalGeneticUniform,zoo_set_const_20,123456789,22,0.655188058955804,0.744025843215244,1.6493275139999999
GenerationalGeneticUniform,glass_set_const_10,123456789,44,0.20242344728405165,0.24572124838288728,3.434244594
GenerationalGeneticUniform,glass_set_const_20,123456789,25,0.23617098735625477,0.24918622602884788,4.511899452
GenerationalGeneticUniform,bupa_set_const_10,123456789,518,0.14489236261275268,0.2837102717001381,7.024205692
GenerationalGeneticUniform,bupa_set_const_20,123456789,992,0.148620629619493,0.28694613754773357,9.985293262
GenerationalGeneticUniform,zoo_set_const_10,234567891,5,0.6162259030461895,0.6541140714172189,1.400570598
GenerationalGeneticUniform,zoo_set_const_20,234567891,12,0.7045377707402961,0.7529947439727179,1.641626304
GenerationalGeneticUniform,glass_set_const_10,234567891,41,0.1820684077847034,0.2224140860813457,3.447698857
GenerationalGeneticUniform,glass_set_const_20,234567891,99,0.20015951687733072,0.2516998620207994,4.558904784
GenerationalGeneticUniform,bupa_set_const_10,234567891,367,0.145090420599305,0.2434421052229931,7.038379398
GenerationalGeneticUniform,bupa_set_const_20,234567891,950,0.14888561000449885,0.2813545944115841,10.003554701
GenerationalGeneticUniform,zoo_set_const_10,3456789,2,0.7103579351653774,0.7255132025137891,1.433385597
GenerationalGeneticUniform,zoo_set_const_20,3456789,9,0.7541584093872326,0.790501139311549,1.6727008030000001
GenerationalGeneticUniform,glass_set_const_10,3456789,38,0.1857705645115694,0.22316412000601835,3.447123345
GGenerationalGeneticUniformenerationalGeneticUniform,glass_set_const_20,3456789,25,0.2361709873562548,0.2491862260288479,4.564867158,bupa_set_const_10,3456789,409,0.14657540857491913,0.25618259934082765,7.032943812
GenerationalGeneticUniform,bupa_set_const_20,3456789,888,0.13830696081934266,0.2621306009809129,9.967456597
GenerationalGeneticUniform,zoo_set_const_10,456789123,5,0.6034321549191931,0.6413203232902225,1.448685811
GenerationalGeneticUniform,zoo_set_const_20,456789123,12,0.7045377707402963,0.7529947439727182,1.6869321720000001
GenerationalGeneticUniform,glass_set_const_10,456789123,81,0.2087303853426723,0.2884377010018924,3.503256404
GenerationalGeneticUniform,glass_set_const_20,456789123,113,0.20544535069662384,0.2642742294967447,4.539148899
GenerationalGeneticUniform,bupa_set_const_10,456789123,424,0.1473387751681767,0.2609657895563068,7.070619086
GenerationalGeneticUniform,bupa_set_const_20,456789123,807,0.14423839979413836,0.25676731602205183,10.008086438
GenerationalGeneticUniform,zoo_set_const_10,567891234,8,0.5976856461310784,0.6583067155247255,1.451629207
GenerationalGeneticUniform,zoo_set_const_20,567891234,34,0.6026004947696514,0.7398952522615132,1.698082799
GenerationalGeneticUniform,glass_set_const_10,567891234,46,0.18732805526981808,0.2325939382367826,3.508794504
GenerationalGeneticUniform,glass_set_const_20,567891234,32,0.2374636596304238,0.254123165131343,4.553286919
GenerationalGeneticUniform,bupa_set_const_10,567891234,503,0.15292355493562737,0.2877216404007912,7.094780416
GenerationalGeneticUniform,bupa_set_const_20,567891234,1039,0.15092687177161287,0.29580610840209876,9.961034096
GenerationalGeneticSegment,zoo_set_const_10,123456789,5,0.6063239050098993,0.6442120733809287,1.434717309
GenerationalGeneticSegment,zoo_set_const_20,123456789,18,0.6950726158068049,0.7677580756554376,1.664109564
GenerationalGeneticSegment,glass_set_const_10,123456789,50,0.18405845704824683,0.23326050375146914,3.469054778
GenerationalGeneticSegment,glass_set_const_20,123456789,111,0.20013312643768333,0.2579207861439967,4.484041744
GenerationalGeneticSegment,bupa_set_const_10,123456789,368,0.14920618547825534,0.24782585834342485,6.991611285
GenerationalGeneticSegment,bupa_set_const_20,123456789,911,0.1534031326201601,0.2804339166147439,9.928837952
GenerationalGeneticSegment,zoo_set_const_10,234567891,6,0.5995484116847628,0.6450142137299981,1.436370341
GenerationalGeneticSegment,zoo_set_const_20,234567891,28,0.5885955188292364,0.7016617897048874,1.670166085
GenerationalGeneticSegment,glass_set_const_10,234567891,21,0.24721068632975124,0.2678755459451046,3.478463135
GenerationalGeneticSegment,glass_set_const_20,234567891,20,0.2477559462508144,0.25816813718888887,4.532944596
GenerationalGeneticSegment,bupa_set_const_10,234567891,342,0.1527067633579934,0.24435874194464552,7.029803172
GenerationalGeneticSegment,bupa_set_const_20,234567891,916,0.15108618790846245,0.27881417708413625,9.894074962
GenerationalGeneticSegment,zoo_set_const_10,3456789,5,0.5928320604559099,0.6307202288269392,1.442575238
GenerationalGeneticSegment,zoo_set_const_20,3456789,28,0.6035971089237416,0.7166633797993925,1.669032437
GenerationalGeneticSegment,glass_set_const_10,3456789,83,0.18795614750412243,0.26963154503147146,3.467511119
GenerationalGeneticSegment,glass_set_const_20,3456789,26,0.23602901915778499,0.2495648673772818,4.512641156
GenerationalGeneticSegment,bupa_set_const_10,3456789,661,0.14894485504554386,0.326085082664775,6.986274894
GenerationalGeneticSegment,bupa_set_const_20,3456789,914,0.1459240010891413,0.27337310819237914,9.905792357
GenerationalGeneticSegment,zoo_set_const_10,456789123,5,0.6119414906052857,0.6498296589763151,1.451223769
GenerationalGeneticSegment,zoo_set_const_20,456789123,14,0.7063930142903764,0.7629261497282018,1.696970059
GenerationalGeneticSegment,glass_set_const_10,456789123,16,0.2461914281420427,0.26193608308707383,3.477184215
GenerationalGeneticSegment,glass_set_const_20,456789123,29,0.2398117191242534,0.2549093959844614,4.499422032
GenerationalGeneticSegment,bupa_set_const_10,456789123,493,0.16052204938089304,0.2926402524312425,7.029327701
GenerationalGeneticSegment,bupa_set_const_20,456789123,912,0.15081704944977956,0.2779872744805814,9.880651019
GenerationalGeneticSegment,zoo_set_const_10,567891234,6,0.5898543536150321,0.6353201556602674,1.450948303
GenerationalGeneticSegment,zoo_set_const_20,567891234,9,0.729335050463624,0.7656777803879404,1.704633008
GenerationalGeneticSegment,glass_set_const_10,567891234,39,0.20745972179034874,0.24583731821886215,3.4774059680000002
GenerationalGeneticSegment,glass_set_const_20,567891234,28,0.23740141883568966,0.25197848614899393,4.509897882
GenerationalGeneticSegment,bupa_set_const_10,567891234,478,0.1577459727366539,0.2858443521647817,7.057860056
GenerationalGeneticSegment,bupa_set_const_20,567891234,996,0.1476129818766501,0.28649625394976264,9.9022431
SteadyGeneticUniform,zoo_set_const_10,123456789,22,0.7324047600462242,0.8991127008787536,1.8714577430000001
SteadyGeneticUniform,zoo_set_const_20,123456789,13,0.7110113330279474,0.7635063873630711,2.1083486750000002
SteadyGeneticUniform,glass_set_const_10,123456789,27,0.21887903060245692,0.24544813582219696,4.092553802
